Name,BSE Code,NSE Code,Industry,Current Price,Average return on equity 5Years,Total Assets,Price to book value,EPS,Historical PE 7Years,Price to Earning,Price to Cash Flow,Market Capitalization,Return over 1year,Return over 5years,Return over 3years,Average return on equity 3Years,Price to Sales,Cash Equivalents,Free cash flow last year,Return on assets 3years,ROCE3yr avg,Altman Z Score,Historical PE 5Years,Average Working Capital Days 3years,Average debtor days 3years,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,Change in promoter holding 3Years,Average EBIT 5Year,Average Earnings 5Year,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,Sales growth 5years median,Debt 3Years back,Debt 5Years back,Net block 3Years back,Net block 5Years back,Working capital 3Years back,Working capital 5Years back,Net block,Debt,Working capital,Free cash flow 3years,Free cash flow 5years,Operating cash flow 3years,Operating cash flow 5years,Investing cash flow 3years,Investing cash flow 5years,Book value 3years back,Book value 5years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Exports percentage 3Years back
Genesys Intl.,506109,GENESYS,IT - Services,629.45,8.46,777.97,4.51,14.51,55.19,45.31,-49.66,2626,-22.01,65.37,2.33,7.49,8.05,17.91,-107.01,4.98,10.11,7.64,80.81,257.38,230.3,37.51,22.71,-3.31,98.38,-10.69,88.88,14.44,-16,30,28.04,68.11,53.23,20.3,50.36,26.5,16.02,138.18,202.85,48.99,71.38,281,122.16,265.97,-304.58,-289.44,-68.98,-22.08,-285.21,-317.22,65.3,55.5,,,51.97
Gennex Lab.,531739,,Pharmaceuticals & Biotechnology,11.35,9.45,256.04,1.38,0.72,29.15,15.67,-23.9,258.15,-41.59,20.87,17.26,9.25,1.75,55.57,-19.55,6.47,12.46,4.18,28.27,164.04,54.95,31.09,19.94,60.59,55.6,51.19,50.07,49.02,1.57,12.79,8.42,58.96,45.32,36.34,7.38,10.12,4.98,13.7,14.93,22.97,14.11,59.56,27.11,136.58,-66.95,-58.12,-33.81,-23.34,-18.6,-21.09,2.31,2.09,6.66,6.38,0
Genomic Valley,539206,,Pharmaceuticals & Biotechnology,40,1.64,4.36,3.14,0.82,43.32,48.88,413.33,12.22,-44.37,17.64,,12.35,15.67,0.05,0.02,10.3,13.63,5.88,44.19,1889.52,2230.09,128.94,-0.24,41.9,4.42,41.9,4.42,51.12,-21.13,0.13,0.06,51.35,-4.71,21.9,-66.67,0,1.48,1.75,4.47,0.93,-0.37,0.01,0,2.16,0.7,3.82,-0.77,-1.42,1.51,3.6,9.4,14.67,,1.33,0
Genpharmasec,531592,,Commercial Services & Supplies,1.92,,79.89,1.63,0.04,114,43.75,35.44,106.31,-42.34,-21.81,-12.03,,2.62,5.27,-2.71,,2.42,4.18,114,184.51,112.7,,,,,,,,-29.98,,,,,,10.88,,,,,,,7.58,5.29,18.32,-8.76,,-3.01,,-43.01,,,,,,
Gensol Engineer.,542851,GENSOL,Electrical Equipment,34.37,20.25,2551.84,0.22,27.04,56.9,1.29,-1.35,132.14,-96.32,11.49,-60.57,21.71,0.09,256.59,-576.74,4.96,16.45,1.46,62.46,30.19,77.73,146.92,63.29,165.36,55.34,152.94,41.91,,-35.29,55.45,19.94,234.93,90.78,103.45,142,10.52,8.61,6.55,8.42,34.47,10.49,256.68,1371.84,224.48,-1001.01,-1011.44,-32.69,-42.25,-1433.35,-1434.49,11.09,10.11,3.41,5.4,0
Genus Paper & Bo,538961,GENUSPAPER,"Paper, Forest & Jute Products",18.21,,1118.97,0.91,0.11,20,164.87,11.46,468.23,-27.25,29.24,2.72,-0.37,0.52,29.74,-23.37,-0.24,3.36,2.26,27.43,4.65,39.21,14.02,,-51.57,,-51.57,,,0.36,26.44,5.49,10.66,,,21.27,218.58,,397.57,,94.47,,627.57,402.97,40.38,-141.34,-313.56,127.43,230.67,-257.87,-471.7,18.72,14.2,6.37,,0
Genus Power,530343,GENUSPOWER,Electrical Equipment,328.9,8.29,4322.69,5.41,12.65,36.98,26.1,-22.54,9996.19,-20.49,65.86,54.32,10.22,3.37,759.87,-556.02,4.63,11.7,5.95,67.81,128.12,197.72,52.76,18.16,124.64,25.33,112.57,21.23,24.87,-11.06,187.58,96.28,85.24,23.22,24.85,18,270.98,256.74,155.51,173.3,421.5,444.7,284.97,1365.87,1665.5,-720.01,-610.63,-510.25,-374.08,-653.47,-801.16,37.09,36.31,2.21,2.15,4.55
Genus Prime,532425,,Chemicals & Petrochemicals,25.09,-0.95,66.83,0.81,-0.01,,,,37.45,-11.72,79.94,32.04,-1.39,49.28,0.11,0,-0.96,-0.96,1.86,,48.81,0,0,-0.89,23.61,11.84,23.61,11.84,7.58,0,-0.43,-0.49,6.27,11.84,,-4.35,22.64,12.37,0,0,0.19,-0.59,0,21.63,0.12,-0.02,9.79,-0.02,9.79,0,-10,35.49,36.67,,,100
Geojit Fin. Ser.,532285,GEOJITFSL,Capital Markets,76.11,18.58,2036.36,1.83,5.4,14.44,14.1,12.74,2124.4,-47.55,17.77,21.92,16.5,2.95,1032.9,142.61,8.27,17.36,3.61,13.51,-193.02,67.82,14.37,19.62,3.61,27.45,3.58,27.36,12.48,-6.83,193.19,136.55,7.17,22.93,11.91,20.11,79.42,23.28,84.61,82.73,495.63,375.64,116.2,155.83,725.61,14.73,-49.35,80.39,43.18,-51.37,22.59,25,21.29,,,0
Getalong Enterp.,543372,,Commercial Services & Supplies,8.68,,14.05,1.38,0.92,31.69,9.93,-25.92,18.37,-71.88,,6.93,11.64,8.62,0.87,-0.78,7.26,16.78,4.5,31.69,816.12,1805.13,-58.89,,18.21,,14.76,,,6.07,1.99,1.09,9.25,,,-52.97,2.12,,0.47,,2.94,,4.36,1.31,6.14,-1.86,-7.68,-0.26,-3.28,-1.39,-6.86,4.72,,23.57,,52.32
