Name,BSE Code,NSE Code,Industry,Current Price,Average return on equity 5Years,Total Assets,Price to book value,EPS,Historical PE 7Years,Price to Earning,Price to Cash Flow,Market Capitalization,Return over 1year,Return over 5years,Return over 3years,Average return on equity 3Years,Price to Sales,Cash Equivalents,Free cash flow last year,Return on assets 3years,ROCE3yr avg,Altman Z Score,Historical PE 5Years,Average Working Capital Days 3years,Average debtor days 3years,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,Change in promoter holding 3Years,Average EBIT 5Year,Average Earnings 5Year,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,Sales growth 5years median,Debt 3Years back,Debt 5Years back,Net block 3Years back,Net block 5Years back,Working capital 3Years back,Working capital 5Years back,Net block,Debt,Working capital,Free cash flow 3years,Free cash flow 5years,Operating cash flow 3years,Operating cash flow 5years,Investing cash flow 3years,Investing cash flow 5years,Book value 3years back,Book value 5years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Exports percentage 3Years back
20 Microns,533022,20MICRONS,Minerals & Mining,231.41,15.53,714.51,1.9,17.39,8.65,13.08,25.7,816.56,-27.2,50.88,30.28,16.53,0.88,40.35,-43.53,9.42,20.04,4.7,10.26,39.46,55.63,14.18,11.52,23,21.46,23,21.46,18.11,0.21,77.63,44.13,14.27,12.03,9.95,14.43,122.96,119.17,207.13,200.67,68.21,34.21,284.34,164.82,155.85,43.03,96.49,149.43,236.8,-104.04,-136.34,71.27,60.78,3.14,2.89,0
21st Cent. Mgmt.,526921,21STCENMGM,Capital Markets,52.57,28.36,57.07,1.08,-9.34,1.94,,10.72,55.2,-60.55,38.14,24.56,23.06,7.23,0.76,5.25,13.32,19.42,3.17,1.83,198.15,93.87,-24.3,,-5.58,18.98,-5.58,18.98,10.9,3.14,10.86,9.22,9.73,21.19,12.25,-103.49,1,8,0.77,0.94,4.24,16.55,0.64,0,25.75,-2.06,24.93,-2.09,24.91,3.08,-27.4,29.03,22.33,90.76,,0
360 ONE,542772,360ONE,Capital Markets,1037.6,20.01,19768.23,5.77,27.24,33.11,39.76,-17.42,41990.48,-4.79,33.3,34.2,21.9,12.51,1091.58,-2457.97,6.11,14.24,4.51,32.54,-59.02,46.22,21.15,19.36,23.23,39.89,19.1,36.59,,-16.94,1449,698.44,27.17,23.58,12.29,25.24,5807.58,8838.1,815.99,608.16,82.79,1103.02,1281.35,11160.2,937.7,-4424.64,-3074.78,-4203.49,-2812.03,-1851.65,1148.63,85.22,80.43,,,0
3B Blackbio,532067,,Healthcare Services,1472.1,29.55,295.72,4.71,57.14,13.07,25.76,29.2,1263.45,1.78,33.42,59.4,16.83,12.73,68.83,42.46,14.71,21.9,9.64,13.85,208.6,172.34,6.15,27.29,13.96,44.02,8.99,40.22,39.68,2.85,67.9,50.33,13.99,42.98,41.64,19.86,2.53,3.52,6.61,3.87,64.64,31.17,7.22,0.31,113.6,87.16,218.07,90.59,225.44,-39.19,-137.89,203.81,175.88,0.19,0.23,0
3B Films,544412,,Industrial Products,36.29,7.77,162.78,,2.38,14.48,17.8,6.04,89.9,,,,11.65,1.05,0.1,9.25,2.35,7.99,2.08,14.48,63.11,51.82,8.25,7.85,158.65,43.5,158.65,43.5,,,8.51,2.02,23.47,18.14,,6.95,99.34,48.04,83.84,46.13,10.2,7.92,82.02,102.48,18.31,7.71,-18.75,16.69,32.69,-8.98,-51.44,,,1.95,2.86,22.54
3C IT Solutions,544190,,IT - Services,22.53,,15.57,1.07,-0.1,20.69,,-4.54,13.56,-41.17,,,7.51,0.37,0.75,-3.32,1.25,14.7,5.95,20.69,82.96,80.04,-18.25,,,,,,,,2.16,0.63,-25.9,,,-7.32,10.4,,0.24,,12.28,,1.12,0.56,12.05,3.72,-1.15,6.32,1.56,-1.33,-1.38,,,5.03,,0
3i Infotech,532628,3IINFOLTD,IT - Software,23.21,-2.83,572.82,1.28,2.8,8.9,8.29,13.93,393.7,-29.75,43.23,-20.73,-3.98,0.55,59.65,29.61,-2.04,-0.76,3.43,18.39,-2.21,63.09,2.34,0.78,37.94,-18.11,37.83,28.54,18.92,0,-13.76,-15.52,85.62,-4.08,-17.31,7.7,118.64,902.49,416.53,850.75,267.01,210.19,225.37,63.51,40.25,78.14,97.33,197.11,226.1,-177.49,621.44,41.9,4.66,,,0
3M India,523395,3MINDIA,Diversified,30385,17.54,3014.59,18.54,440.84,75.06,68.96,96.69,34243.9,-13.43,9.44,10.08,23.55,7.45,937.38,300.22,15.87,33.78,22,76.44,30.08,61.44,13.03,9.96,21.57,16.8,21.57,16.8,6.29,0,540.18,377.62,26.49,17.1,6.99,12.21,24.44,41.77,290.79,286.65,1511.84,1155.53,417.17,99.54,1397.71,1277.77,1817.41,1422.78,2068.48,32.9,-26.2,2209.29,1972.03,4.36,3.58,0
3P Land Hold.,516092,3PLAND,Finance,45.03,1.78,153.49,0.58,1.16,30.61,38.97,69.28,81.05,2.57,45.1,35.63,2.03,18.05,0.18,1.19,1.99,2.77,2.21,30.51,-17.58,0,27.63,19.3,21.84,1.83,21.84,1.83,63.86,0,1.77,1.29,18.66,9.9,9.48,25.56,0,0,0.65,0.86,0.08,0.36,1.64,0,-0.22,1.32,1.23,1.3,1.21,-1.21,-1.21,37.08,25.9,,,0
52 Weeks Enter.,531925,,Food Products,1.46,-11.18,19.89,0.32,-0.04,32.2,,-42.46,5.09,-7.59,19.46,-11.41,-0.13,,0.01,-0.12,-0.1,-0.1,2.55,35.3,0,0,,,24.6,10.2,24.6,10.2,,0,-1.66,-1.83,23.59,8.13,,-100,3.61,11.45,0,0,15.32,15.43,0,3.73,17.39,-0.13,6.29,-0.13,6.29,0,0,4.56,5.09,0,1.91,
5paisa Capital,540776,5PAISA,Capital Markets,362.55,10.2,1665.99,1.87,19.08,30.79,19.01,11.54,1132.69,-29.95,-0.83,0.76,10.89,3.38,1335.95,90.63,3.05,12.86,2.41,30.79,-876.06,0.04,6.53,27.17,66.15,60.41,62.86,55.3,22.74,2.81,75.69,39.08,38.84,67.88,29.23,16.67,278.98,219.19,10.35,8.21,363.01,132.99,19.94,217.42,561.21,-7.43,-151.85,31.72,-103.25,-28.23,-45.04,128.41,62.22,,,0
63 Moons Tech.,526881,63MOONS,IT - Software,923.4,0.31,3678.54,1.25,-4.67,29.7,,-29.81,4254.89,124.21,63.93,70.58,1.1,64.81,1925.25,-154.05,0.33,1.89,3.78,15.98,716.87,37.9,-33.65,-26.05,-38.42,-8.56,-38.42,-8.56,,0,20.67,10.02,-23.55,,,0.02,0.28,0,381.56,380.91,1455.59,1423.46,349.63,2.85,2173.15,-61.32,-228.66,-24.91,-162.51,-216.12,-81.11,671.99,670.78,,,1.12
7NR Retail Ltd,540615,,Retailing,5.66,-0.34,40.56,1.09,0.13,250,44.03,10.39,31.7,-26.01,-2.15,-29.02,-0.76,1.42,0.45,3.05,-0.36,0.23,3.72,160.8,510.55,350.97,-3.65,12.64,-24.93,24.57,-8.68,39.89,33.39,-16.27,0.08,-0.07,-18.29,9.69,11.63,84.77,1.44,0,0.11,1.26,9.88,8.99,0.81,4.81,27.78,-18.84,-23.83,-17.86,-23.69,-2.9,-1.52,1.07,1,3.77,0.54,0
7Seas Enter.,540874,,Entertainment,85.85,,19.98,10.62,0.87,70.86,98.28,-61.36,191.64,-3.79,,67.71,,10.87,0.31,-7.19,12.49,15.84,18.29,70.86,49.73,32.18,215.56,218.31,336.21,25.16,283.22,20.43,18.87,-9.05,1.08,0.97,330.89,62.21,15.79,113.59,4.42,7.43,0.01,0.52,-1.45,-7.74,6.47,1.17,7.84,-17.88,-20.58,-10.08,-12.65,-7.64,-7.77,-0.87,-5.19,,,0
A and M Jumbo,,AMJUMBO,Industrial Products,7.6,-0.34,38.33,0.91,0.16,29.63,46.94,-27.52,7.98,-45.52,-0.52,-8.74,0.11,0.35,0.27,-0.29,-0.07,0.05,1.23,123.57,-92.29,357.67,559.05,31.47,40.49,,40.49,-37.09,-14.88,-1.6,0.06,-0.03,50.92,-24.38,-12.8,-97.03,6.64,9.27,4.05,4.01,0.64,-0.49,3.98,7.71,-1.08,-1.08,-1.71,-1.08,-1.41,0.01,-0.49,10.01,10.21,0.16,1.17,0
A B B,500002,ABB,Electrical Equipment,5117.4,18.86,12799.68,15.07,84.72,94.32,60.29,81.42,108441.99,-31.92,40.79,15.63,23.64,8.6,5261.82,1118.1,12.37,30.76,16.48,102.16,-4.82,89.14,20.68,10.75,63.11,40.25,63.11,40.25,23.66,0,1227.58,898.85,54.25,33.61,21.12,19.12,36.66,13.54,816.98,741.69,2620.85,1850.41,1114.4,73.22,5605.83,2880.54,3599.42,3425.22,4393.63,-2028.7,-3593.85,190.9,170.19,4.8,4.39,0
A B Infrabuild,544281,ABINFRA,Construction,219.7,15.07,249.14,12.71,3.28,9.66,66.07,-59.51,1403.42,204.84,96.18,149.89,18.45,5.51,33.47,-28.02,7.25,20.73,11.56,24.67,86.23,75.45,47.92,26.75,219.29,39.88,105.77,7.47,-15.82,-28.24,14.43,7.27,85.75,34.97,20.97,13.38,30.11,23.04,2.24,0.99,28.37,18.05,36.02,64.24,75.96,-42.19,-43.42,1.54,2.59,-55.57,-55.96,16.25,15.7,1.11,1.12,0
A B Lifestyle,544403,ABLBL,Retailing,141.6,,8279.03,,,,138.45,15.1,17279.37,,,,,2.21,53.65,900.64,,0,4.9,,-15.51,61.63,,,,,,,,,,,,,,,,,,,,,3280.18,2932.45,-279,,,,,,,,,,,
A B M Internatl.,,ABMINTLLTD,Commercial Services & Supplies,45.9,-0.69,37.02,3.19,-4.69,43.54,,-35.08,43.18,-21.28,2.92,-17.04,-23.14,0.66,7.64,-1.24,-12.09,-22.72,3.87,43.71,8.47,15.87,-14.21,-3.88,,11.49,,10.58,,0,-0.11,-0.13,,-0.64,,-1.27,0,0,0.64,0.72,19.17,7.41,0.54,14.65,4.64,-22.59,-14.07,-22.58,-14.02,1.43,1.82,26.05,19.5,40.9,15.21,0
A B Real Estate,500040,ABREL,"Paper, Forest & Jute Products",1802.4,1.5,16483.24,5.24,-17.41,54.45,,-15.57,20132.03,-25.16,39.27,26.88,1.25,10.75,1000.62,-1413.44,0.74,3.7,2.58,89.48,382.17,33.72,-33.43,-18.66,,,,,,0,176.8,56.09,-52.71,-38.53,-33.89,-7.24,1336.32,1399.71,4058.61,4293.29,16.58,-33.48,1437.41,4996.54,2727.92,-1620.34,-1316.12,-1337.81,-822.55,-823.58,-1091.42,332.93,313.73,1.29,1.03,0
A F Enterprises,538351,,Commercial Services & Supplies,2.41,,134.37,0.21,-0.1,54.1,,-268.31,8.06,-82.36,,-49.93,0.01,0.63,2.68,-0.04,0.01,2.17,0.89,54.1,626.75,2614.47,-39.13,,,,-31.28,,,-3.96,,,-45.62,,,-50,3.43,,7.17,,5.02,,5.37,6.29,35.73,-24.73,,-24.56,,-0.23,,1.74,,,,0
A G Universal,,AGUL,Industrial Products,67,10.79,50.28,1.96,2.48,18.1,27.01,-10.15,36.74,17.44,,,9.8,0.6,0.07,-7.24,2.48,10.43,3.47,18.1,55.2,54.26,-4.57,25.14,26.62,93.6,-14.06,3.97,,,2.29,0.84,42.81,41.76,,32.09,9.43,7.84,5.31,4,2.2,1.37,10.59,20.57,13.72,-21.56,-21.95,-8.29,-4.48,-12.94,-16.93,,,71.91,71.5,0
A-1,542012,,Chemicals & Petrochemicals,900.65,7.75,73.66,20.85,2.97,73.32,303.74,-98.36,1035.75,173.3,75.62,41.84,5.86,3.17,2.04,-11.77,4.04,8.1,28.71,98.07,35.76,50.39,2.22,23.45,-16.09,3.75,-16.09,3.75,4.51,0.03,6.1,3.51,-7.5,5.98,5.22,25.58,25.98,6.37,17.03,10.86,28.1,26.87,11.02,21.5,33.63,14.66,-1.96,19.47,15.34,-5.75,-20.42,40.44,34.97,131.38,82.39,0
A.K.Capital Serv,530499,,Finance,1079.9,10.53,4239.63,0.73,128.98,3.68,8.37,-1.49,712.73,0.01,34,35.94,10.06,1.42,32.17,-480.17,2.62,8.9,1.14,3.93,355.59,4.14,14.34,8.98,1.02,10.77,1.02,10.77,4.34,-0.02,256.48,84.12,18.1,12.89,5.8,11.97,1845.14,881.36,78.37,71.07,688.43,586.18,74.28,3147.8,577.37,-240.32,-454.45,-231.19,-440.76,-802.95,-1439.15,1151.26,1036.14,0,0,0
A2Z Infra Engg.,533292,A2ZINFRA,Construction,20.72,-34.93,498.42,8.08,0.55,26.62,29.12,6.73,364.92,20.47,33.15,17.11,-12.39,1.06,5.15,50.99,-1.86,0.15,1.93,36.06,-159.59,199.96,-1.64,-13.63,27.12,15.62,27.12,15.62,10.72,0,-33.05,-55.61,30.22,73.35,5.58,-13.44,393.99,477.3,106.74,122.5,-222.18,-92.39,73.03,91.62,-96.28,185.42,229.63,204.63,235.8,-29.97,6.02,9.04,19.18,12.31,0.09,0
AA Plus Trade,543319,,Commercial Services & Supplies,0.84,2.88,44.95,0.47,0.04,97,21.51,-0.75,20.43,-65.15,,4.32,3.1,1.02,1.12,-27.45,2.11,3.82,3.78,97,433.65,191.13,23.24,3.88,71,46.66,71.36,30.72,22.42,-28.96,0.57,0.4,63.86,43.1,44.57,22.24,3.39,0.95,0.02,0.03,12.71,5.9,0.09,0.04,43.38,-25.6,-35.85,-25.48,-35.73,-0.12,1.5,0.52,,,,0
AAA Technologies,543671,AAATECH,Commercial Services & Supplies,79.19,10.97,32.55,3.29,2.74,33.82,28.94,61.06,101.58,-42.11,,-3.55,11.95,3.89,22.82,1.4,11.11,16.04,8.69,33.82,135.02,114.88,30.37,12.45,14.47,-1,14.39,-43.16,-19.51,0,3.53,2.61,16.03,0.12,19.8,4.72,0,0,0.94,1.06,21.98,9.17,1.21,0,29.59,12.45,8.92,14.27,10.85,-17.27,-16.32,17.92,17.49,,,0.35
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,513.55,16.41,23223.54,3.48,22.02,22.11,23.42,-7.34,22228.32,15.81,,,17.25,6.85,1723.38,-3041.24,4.05,11.01,2.49,22.11,-44.7,2.38,21.6,17.5,27.03,36.61,23.32,-15.32,,,1678.29,602.28,20.92,17.96,,18.22,10674.59,9643.34,55.07,44.27,1482.88,3031.89,91.87,16322.42,1607.27,-6772.34,-9476.08,-6732.44,-9419.35,406.13,748.22,,,,,0
Aadi Industries,530027,,Chemicals & Petrochemicals,5.72,,0.17,,-0.18,,,-33.65,5.72,-6.69,,11.65,,,0.06,-0.17,-53.01,-69.09,-54.58,,0,0,,,14.83,,14.83,,,0,-0.18,-0.18,15.21,,,-100,6.9,6.42,0.02,0.02,-6.44,-5.98,0.01,6.98,-6.86,-0.16,-0.67,-0.15,-0.63,-0.01,-0.04,-6.42,-6.07,3,0,0
Aakaar Medical,,AAKAAR,Personal Products,92.55,,54.11,,5.8,15.09,21.72,-24.29,131.17,,,,29.25,2.13,5.55,-5.49,11.39,25.24,6.7,15.09,97.45,136.19,46.79,,55.06,,-36.97,,,,4.35,2.64,59.6,,,40.67,3.82,,0.2,,7.88,,0.24,22.74,21.89,-16.77,-12.18,-16.38,-11.59,-0.41,-0.27,,,1.37,,0
Aakash Explor.,,AAKASH,Oil,10.23,8.96,96.43,1.72,0.12,20.43,87.04,12.58,103.58,-19.32,14.94,-6.96,7.37,1.08,0.41,-0.86,4.8,9.49,3.64,22.19,-21.39,79.44,8.5,7.79,-39.26,-23.23,-39.26,-23.22,-11.46,-0.23,7.75,4.46,-11.21,-7.06,4.82,6.46,16.05,23.67,46.02,44.68,4.73,3.63,61.36,23.46,-5.97,0.22,10.45,36.94,60.7,-38.84,-51.91,4.72,4.1,,,0
Aananda Lakshmi,539096,,Textiles & Apparels,16.36,,7.94,,2.23,2.36,1.8,0.83,5.72,6.23,,17.83,,2.53,0.2,6.94,24.85,352.1,-1.03,2.33,-8691.73,490.02,-19,-23.88,62.38,20.35,62.38,20.35,14.54,0,1.87,0.58,207.23,28.97,17.4,-30.22,27.63,34.06,6.12,18,-8.35,-25.04,1.68,13.28,-7.18,9.93,11.96,3.5,-4.26,6.44,16.23,-78.67,-82.45,15.85,18.29,0
Aar Shyam (I),542377,,Finance,11.42,0.58,4.09,0.96,-2.3,112.75,,-8.57,3.43,,27.72,,-0.85,13.72,0.08,-0.4,-0.89,-0.83,3.18,5.68,1653.4,0,-1.16,,,14.27,,14.27,,0,0.03,0.02,,14.26,,-54.1,0.34,0.34,0,0,0.71,1.96,0,0.34,3.79,-1.57,-0.28,-1.57,-0.28,1.38,0.46,13.9,12.07,,,0
Aaradhya Dis.,,AARADHYA,"Paper, Forest & Jute Products",112.2,24.74,83.09,,10.02,11.58,15.46,28.87,158.63,,,,31.12,1.4,0.08,5.51,7.08,16.12,5.85,11.58,26.41,73.49,17.04,19.01,115.87,69.65,69.81,46.91,,,6.86,3.4,57.89,33.73,,17.27,27.19,18.77,12.48,16.36,9.53,3.07,26.32,39.66,15.66,-7.19,,9.93,,-17.08,,,,4.76,0.41,0
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals & Biotechnology,69.31,4.42,238.27,1.42,1.48,13.43,47.24,20.4,196.52,-1.95,15.58,19.96,3.31,0.44,1.47,4.45,1.49,6.25,4.74,20.52,94.25,145.13,-1.29,9.76,-15.02,-7.04,-18.09,-10.55,-8.51,-5.23,10.44,5.11,-3.33,5.06,2.33,17.09,14.16,17.89,14.47,12.3,92.07,81.06,16.22,34.86,116.4,-1.58,-0.68,5.38,11.36,-7.2,-13.29,44.77,42.28,29.01,18.87,0
Aarnav Fashions,539562,,Textiles & Apparels,38.95,3.71,377.97,0.88,2.21,27.88,17.61,6.56,164.52,-26.77,-2.41,-8.47,2.88,0.42,4.04,22.5,1.3,6.17,2.88,26.48,68.96,105.51,-3.26,60.66,-0.29,31.84,-29.38,7.19,27.5,39.32,18.49,5.89,-1.6,58.35,109.85,5.51,152.84,0,138.69,0.02,100.96,20.58,124.62,99.54,84.57,91.3,-101.4,100.76,58.09,-11.09,-172.27,115.26,110.05,3.32,4.88,1.82
Aaron Industries,,AARON,Industrial Manufacturing,204.59,23.06,82.83,9.94,3.56,39.07,57.68,49.55,428.54,46.14,68.64,30.48,23.3,5.36,2.57,0.64,12.48,22.72,10.57,43.13,28.2,20.48,27.34,29.5,30.58,43.87,28.89,42.61,19.1,-1.91,7.9,5.13,36.67,37.09,38,23.25,9.15,5.2,14.85,9.29,6.62,3.74,24.88,31.86,5.48,-27.9,-31.18,18.3,22.74,-45.97,-53.33,7.91,6.05,3.81,2.78,0
Aartech Solonics,542580,AARTECH,Electrical Equipment,58.08,4.52,42.81,5.87,0.83,69.43,69.89,-121.51,184.52,-25.2,,67.45,5.19,5.41,2.38,-1.93,3.92,6.24,9.52,74.77,158.98,114.18,30.54,29.19,17.33,63.68,17.37,63.71,17.97,0.34,1.73,1.25,1.99,64.73,13.36,32.74,0.65,2.36,5.1,5.27,8.3,5.99,4.56,5.64,23.29,-4.53,-4.8,-4.85,-4.8,4.19,5.2,8.61,7.86,3.41,2.3,0
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals & Biotechnology,471.15,18.24,2574.68,3.16,20.54,23.15,22.94,17.7,4331.52,-14.9,-7.81,2.44,13.76,1.79,7.56,67.47,6.99,14.52,4.94,24.32,73.88,110.93,-1.38,5.74,-6.4,4.03,-6.17,4.31,11.15,-4.76,294.93,198.26,-3.76,2.8,6.07,9.14,542.82,388.64,689.93,643.81,453.31,276.26,866.11,615.08,501.38,168.9,164.97,736.82,962.18,-552.25,-773.67,111.92,98.01,3.81,3.77,0
Aarti Industries,524208,AARTIIND,Chemicals & Petrochemicals,376.55,13.33,11113.52,2.44,6.54,34.06,58.09,10.99,13651.95,-37.72,-4.5,-21.23,8.47,1.92,294.97,-136.93,4.74,8.02,3.39,39.7,-35.98,46.75,6.11,11.68,-34.79,-9.09,-34.79,-9.81,-1.53,-1.95,838.91,600.38,-16.15,0.74,5.43,8.76,2586.95,2097.94,3594.65,2468.49,533.18,88.5,6376.79,3847.79,-571.66,-240.99,-1329.02,3770.26,5161.62,-4096.64,-6588.21,124.58,100.54,2.7,2.2,49.41
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals & Biotechnology,882.65,,2906.4,4.02,29.4,24.69,30.03,24.12,8000.45,26.8,,,13.64,4.11,8.65,-112.32,9.31,16.72,6.72,24.69,102.82,95.36,20.8,,30.62,,,,,,230.76,160.91,31.34,,,14.17,341.4,,782.09,,447.49,,1136.57,413.11,617.56,35.7,-149.15,798.03,754.33,-786.26,-925,,,2.87,,0
Aarti Surfactant,543210,AARTISURF,Chemicals & Petrochemicals,483.15,8.8,477.19,1.76,18.05,42.75,32.46,36.87,408.67,-26.4,-2.51,-16.15,8,0.56,1.21,-9.1,3.63,11.22,3.95,42.67,31.67,41.76,4.62,15.13,28.28,40.86,28.49,41,,4.88,32.04,14.55,11.87,13.79,,11.74,161.51,108.96,172.69,151.35,25.94,-0.58,205.91,110.4,65.52,40.18,16,87.62,146.45,-43.03,-126.04,159.89,156.06,6.33,5.63,30.12
Aarvee Denims,514274,AARVEEDEN,Textiles & Apparels,175.8,-40.37,204.41,11.54,7.65,19.68,22.99,15.04,412.43,299.73,70.22,85.93,-59.01,14.54,14.89,208.77,-5.1,0.32,3.59,18.77,-343.35,223.37,-53.46,-40.4,34.41,19.75,34.41,19.75,18.96,-32.24,-24.71,-40.85,98.55,5.85,-6.92,-49.9,412.9,418.97,230.54,350.38,9.53,42.7,68.23,94.26,-54.44,411.98,520.73,177.05,234.98,240.57,296.12,53.85,71.45,2.26,1.26,0
Aarvi Encon,,AARVI,Commercial Services & Supplies,123.22,11.73,212.9,1.46,7.87,12.61,15.67,-75.99,182.5,-17.59,24.65,3.62,10.93,0.33,9.47,-11.96,7.34,13.36,5.45,13.35,49.37,78.86,20.94,18.54,-6.55,6.89,-6.6,6.85,4.11,0,14.46,11.86,4.5,10.65,5.9,25.67,6.43,9.6,10.14,11.39,51.54,30.73,17.7,26.78,77.01,-4.09,1.11,7.47,14.03,-11.86,-9.71,64.05,57.54,,,0
Aashka Hospitals,543346,,Healthcare Services,84.5,2.28,116.06,1.99,1.4,26.21,84.5,21.52,197.73,-25.91,,24.97,0.74,8.73,2.59,7.81,0.62,3.1,4.28,26.21,-82.08,95.06,-17.08,-3.62,-0.42,11.14,-0.42,5.46,,0,4.82,1.72,-4.36,-2.95,,-0.96,28.21,30.92,48.46,44.12,-2.66,5.83,40.79,12.61,2.8,15.3,-42.68,17.38,-30.75,-2.08,-11.93,41.27,,12.13,12.46,0
AastamangalamFin,511764,,Finance,46.27,10.47,121.66,0.97,5.3,20.96,8.66,-2.13,71.89,29.1,26.74,65.38,12.65,4.17,2.73,-33.64,5.71,10.24,2.34,15.92,-37.75,84.97,129.7,63.93,299.36,207.74,216.03,167.43,46.75,-18.7,4.62,2.79,261.54,158.76,64.59,109.85,0,0,0.07,0.01,0.67,-0.44,0.03,44.45,0.63,-83.47,-83.75,-83.47,-83.68,0,-0.07,18.31,18.16,,,0
Aatmaj Health,,AATMAJ,Healthcare Services,20.5,16.65,63.25,0.92,0.28,14.51,72.39,13.87,46.33,-23.08,,,8,2.42,12.16,2.6,9.14,18.81,3.34,14.51,353.5,416.43,-1.83,35.94,-49.77,34.31,-80.36,16.45,,,5.14,3.32,-27.43,33.38,,29.18,5.18,8.76,10.87,8.02,-1.38,-1.86,18,10.06,34.57,-8.88,3.11,0.66,16.32,-9.93,-14.01,,,0.58,24.74,0
AAVAS Financiers,541988,AAVAS,Finance,1591.2,13.82,18618.48,2.89,74.19,43.87,21.45,-7.59,12596.15,-15.17,2.59,-11.38,14.06,5.16,1559.63,-1688.19,3.35,9.83,1.97,34.41,27.61,1.42,21.76,21.15,17.16,18.16,17.05,17.91,27.2,9.78,1215.13,428.05,22.93,21.25,27.02,22.26,8011.98,5382.17,66.16,59.89,1666.79,1265.91,133.71,13918.47,1751.04,-5678.06,-7907.89,-5580.46,-7787.07,-274.34,-1006.67,355.81,305.89,,,0
Aayush Art,540718,,Textiles & Apparels,975.45,2.37,57.95,28.25,1.18,777.75,825.21,-36.91,1493.63,380.4,132.36,206.13,3.6,20.25,0.77,-40.53,2.94,3.99,44.82,778.22,303.59,48.94,187.02,103.57,85.8,61.69,42.09,30.47,34.43,-18.15,0.52,0.38,105.27,79.05,60.41,26.83,0,0,0.11,0.15,3.87,7.09,0.18,0,43.27,-36.91,-38.06,-36.74,-37.87,-6.2,-4.77,23.84,25.23,2.06,0.61,0
Aayush Wellness,539528,,Food Products,87.5,6.73,8.65,51.44,0.88,22.29,99.74,-49.96,425.91,160.8,106.68,283.61,22.28,5.02,0.4,-8.6,18.68,19.52,91.72,243.91,122.44,24.21,61.63,-10.45,53.88,40.3,54.04,40.48,25.81,-32.52,0.84,0.38,66.31,11.86,15.27,-53.37,4.95,11.52,0.31,0.95,9.39,16.94,0.07,0.05,1.14,-4.37,-0.17,-4.48,-0.71,0.15,0.58,0.97,1.39,2.19,5.69,0
AB Cotspin,,ABCOTS,Textiles & Apparels,411.95,12.42,288.16,6.12,8.73,44.81,75.84,-54.66,904.79,74.26,,115.09,10.03,3.1,0.07,-66.62,3.21,8.92,7.18,44.81,55.24,47.36,28.43,25.93,13.68,63.31,-2.71,11.8,3.89,17.59,13.3,5.86,31.13,40.99,22.14,21.96,30.55,29.11,22.7,22.13,18.55,3,65.79,165.78,67.7,-166.11,-171.07,-72.46,-58.9,-93.79,-113.9,37.73,,4.83,4.02,0
Aban Offshore,523204,ABAN,Oil,45.34,,1532.99,,-154.98,,,1.91,264.63,-42.6,11.76,-6.69,,0.57,191.9,154.75,-63.37,0,-42.75,,-21522.31,163.1,-7.36,-13.35,16.99,13.71,16.99,13.71,7.5,0,-407.01,-1525.76,33.45,15.43,14.86,0.74,15248.69,15688.15,704.26,4052.48,-21575.81,-19488.94,663.25,15697.2,-26366.18,1591.53,2044.88,197.02,442.34,1407.28,1624.99,-3343.16,-2882.32,0.09,0.03,0
ABans Enterprise,512165,,Metals & Minerals Trading,31.94,11.82,490.41,1.08,2.74,8.79,11.67,-1.15,222.78,13.26,-0.87,11.09,7.93,0.05,20.99,-199.16,4.08,10.4,12.23,9.04,20.92,26.72,10.15,-3.23,-11.97,-7.36,-11.99,-7.38,,0,38.64,20.99,6.56,6.27,,-10.56,82.74,140.35,3.98,12.86,231.03,42.4,7.09,252.26,180.96,-167.49,-218.25,-159.19,-197.24,0.17,-47.47,29.34,27.53,73.28,75.37,0
Abans Financial,543712,AFSL,Finance,219.31,9.28,3059.83,1.03,21.72,20.61,10.12,-9.34,1109.26,-59.94,,,9.52,0.23,318.54,-121.1,3.99,8.95,3.27,20.61,123.81,57.8,71.98,3.44,21.82,23.92,18.33,-29.15,,,120.09,69.37,27.93,14.7,,18.62,86.05,318.79,19.61,21.25,706.18,855.73,21.79,834.48,994.99,121.86,332.86,126.14,337.28,-756.21,-794.81,,,12.45,45,0
Abate As Indust,531658,,Healthcare Services,20.75,,205.65,2,0.07,293.57,297.3,-460.59,327.03,76.75,75.12,46.5,,23.21,1.61,-0.75,,0,3.9,293.57,639.59,430.28,,,,,,,,-4.31,,,,,,,,,,,,,148.64,10.57,26.3,,,,,,,,,,,
